Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
ABHD14A	abhydrolase domain containing 14A		"DKFZP564O243, DORZ1"	3p21.2	AY358201	NM_015407	ENSG00000248487	25864
ABHD14A-ACY1	ABHD14A-ACY1 readthrough			3p21.2			ENSG00000114786	100526760
ABHD14B	abhydrolase domain containing 14B		"MGC15429, CIB"	3p21.2	AK075112	NM_032750	ENSG00000114779	84836
ABHD15	abhydrolase domain containing 15			17q11.2	AK056717	NM_198147	ENSG00000168792	116236
ABHD15-AS1	ABHD15 antisense RNA 1		"linc-TP53I13, lnc-TP53I13"	17q11.2	CN275323		ENSG00000264031	
ABHD16A	abhydrolase domain containing 16A	BAT5	"NG26, D6S82E"	6p21.33	AF129756		ENSG00000204427	7920
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	20q13.33			ENSG00000183260	140701
ABHD17A	abhydrolase domain containing 17A	"C19orf27, FAM108A1"	MGC5244	19p13.3	BC020512	NM_031213	ENSG00000129968	81926
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	"FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P"	C1orf47	1q21.2		NG_011738	ENSG00000198658	728917
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	"FAM108A4, FAM108A4P"		1q41		XR_041784	ENSG00000250536	648359
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	"FAM108A5, FAM108A5P"		22q11.21			ENSG00000229107	729495
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	"FAM108A6, FAM108A6P"		22q11.22			ENSG00000263366	91219
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		17p11.2			ENSG00000226981	644988
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		16p11.2			ENSG00000260864	100133212
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		16p11.2			ENSG00000260540	647144
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		16p11.2			ENSG00000261536	100132251
ABHD17B	abhydrolase domain containing 17B	"C9orf77, FAM108B1"	CGI-67	9q21.13	AF151825	NM_016014	ENSG00000107362	51104
ABHD17C	abhydrolase domain containing 17C	FAM108C1		15q25.1		NM_021214	ENSG00000136379	58489
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	4q28.2	AK024759	NM_001039717	ENSG00000164074	80167
ABI1	abl interactor 1	SSH3BP1	"E3B1, ABI-1"	10p12.1	U87166	NM_005470	ENSG00000136754	10006
ABI1P1	abl interactor 1 pseudogene 1	"SSH3BP1P, ABI1P"		14q22.3		NG_002531	ENSG00000271484	326268
ABI2	abl interactor 2		"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	2q33.2	AF260261	NM_005759	ENSG00000138443	10152
ABI3	ABI family member 3		"NESH, SSH3BP3"	17q21.32	AB037886	NM_016428	ENSG00000108798	51225
ABI3BP	ABI family member 3 binding protein		"NESHBP, DKFZP586L2024, TARSH"	3q12.2	AB056106		ENSG00000154175	25890
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL	"JTK7, c-ABL, p150"	9q34.12	M14752	NM_007313	ENSG00000097007	25
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABLL	ARG	1q25.2	M14904	NM_005158	ENSG00000143322	27
ABLIM1	actin binding LIM protein 1	"LIMAB1, ABLIM"	"abLIM, limatin"	10q25.3	AF005654		ENSG00000099204	3983
ABLIM2	actin binding LIM protein family member 2		KIAA1808	4p16.1	AB058711	NM_001130083	ENSG00000163995	84448
ABLIM3	actin binding LIM protein family member 3		KIAA0843	5q32	AB020650	NM_014945	ENSG00000173210	22885
ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		"A3GALNT, A3GALT1"	9q34.2	AF134415	NM_020469	ENSG00000175164	28
ABR	"ABR, RhoGEF and GTPase activating protein"		MDB	17p13.3	L19704		ENSG00000159842	29
ABRA	actin binding Rho activating protein		STARS	8q23.1	AF503617	NM_139166	ENSG00000174429	137735
ABRACL	ABRA C-terminal like	C6orf115	"PRO2013, HSPC280, Costars"	6q24.1	BC014953	NM_021243	ENSG00000146386	58527
ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"	"CCDC98, FAM175A"	"FLJ13614, ABRA1, ABRAXAS"	4q21.23	AK023676	NM_139076	ENSG00000163322	84142
ABRAXAS2	"abraxas 2, BRISC complex subunit"	"KIAA0157, FAM175B"	"Em:AC068896.4, ABRO1"	10q26.13	D63877	NM_032182	ENSG00000165660	23172
ABT1	activator of basal transcription 1		Esf2	6p22.2	AB027258		ENSG00000146109	29777
ABT1P1	activator of basal transcription 1 pseudogene 1			4q23		NG_025142	ENSG00000250496	100420695
ABTB1	ankyrin repeat and BTB domain containing 1		"BPOZ, EF1ABP, Btb3, BTBD21"	3q21.3	AB053324	NM_172027	ENSG00000114626	80325
ABTB2	ankyrin repeat and BTB domain containing 2		"DKFZP586C1619, BTBD22, ABTB2A"	11p13	AK056863	NM_145804	ENSG00000166016	25841
ACAA1	acetyl-CoA acyltransferase 1			3p22.2	X14813	NM_001607	ENSG00000060971	30
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	18q21.1	D16294	NM_006111	ENSG00000167315	10449
ACACA	acetyl-CoA carboxylase alpha	"ACAC, ACC"	ACC1	17q12	U19822	NM_198836	ENSG00000278540	31
ACACB	acetyl-CoA carboxylase beta		"HACC275, ACC2, ACCB"	12q24.11	U89344	NM_001093	ENSG00000076555	32
ACAD8	acyl-CoA dehydrogenase family member 8			11q25	AF126245	NM_014384	ENSG00000151498	27034
ACAD9	acyl-CoA dehydrogenase family member 9		"NPD002, MGC14452"	3q21.3	AF078854	NM_014049	ENSG00000177646	28976
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	12q24.12	AY323912	NM_025247	ENSG00000111271	80724
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	3q22.1	BC019607	NM_032169	ENSG00000240303	84129
ACADL	acyl-CoA dehydrogenase long chain		"LCAD, ACAD4"	2q34	M74096	NM_001608	ENSG00000115361	33
ACADM	acyl-CoA dehydrogenase medium chain		"MCAD, MCADH, ACAD1"	1p31.1	M16827		ENSG00000117054	34
ACADS	acyl-CoA dehydrogenase short chain		"SCAD, ACAD3"	12q24.31	M26393	NM_000017	ENSG00000122971	35
ACADSB	acyl-CoA dehydrogenase short/branched chain		"SBCAD, ACAD7"	10q26.13	U12778	NM_001609	ENSG00000196177	36
ACADVL	acyl-CoA dehydrogenase very long chain		"VLCAD, LCACD, ACAD6"	17p13.1	BC012912	NM_000018	ENSG00000072778	37
ACAN	aggrecan	"MSK16, CSPG1, AGC1"	CSPGCP	15q26.1	M55172	NM_001135	ENSG00000157766	176
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	CENTB1	KIAA0050	17p13.1	D30758	NM_014716	ENSG00000072818	9744
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	CENTB2	"KIAA0041, CNT-B2"	3q29		NM_012287	ENSG00000114331	23527
ACAP2-IT1	ACAP2 intronic transcript 1			3q29			ENSG00000229325	
ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	CENTB5	KIAA1716	1p36.33	AF411981	NM_030649	ENSG00000131584	116983
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	11q22.3	D90228	NM_000019	ENSG00000075239	38
ACAT2	acetyl-CoA acetyltransferase 2			6q25.3	AF356877	NM_005891	ENSG00000120437	39
ACBD3	acyl-CoA binding domain containing 3	"GOLPH1, GOCAP1"	"GCP60, PAP7"	1q42.12	AB043587	NM_022735	ENSG00000182827	64746
ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4	1q42.12	AW511419	NR_146443	ENSG00000234478	107985353
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	17q21.31	BC029164	NM_024722	ENSG00000181513	79777
ACBD5	acyl-CoA binding domain containing 5		"DKFZp434A2417, KIAA1996"	10p12.1	AF505653	NM_145698	ENSG00000107897	91452
ACBD6	acyl-CoA binding domain containing 6		MGC2404	1q25.2-q25.3	BC006505	NM_032360	ENSG00000230124	84320
ACBD7	acyl-CoA binding domain containing 7		"FLJ38219, bA455B2.2"	10p13	AK095538		ENSG00000176244	414149
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		"PHACS, ACS"	11p11.2	AY026508	NM_032592	ENSG00000110455	84680
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			11p11.2		NM_001031854	ENSG00000205126	390110
ACD	"ACD, shelterin complex subunit and telomerase recruitment factor"		"Ptop, Pip1, Tpp1, Tint1"	16q22.1	AF070535	NM_022914	ENSG00000102977	65057
ACE	angiotensin I converting enzyme	DCP1	"ACE1, CD143"	17q23.3	J04144	NM_000789	ENSG00000159640	1636
ACE2	angiotensin I converting enzyme 2			Xp22.2	AF291820		ENSG00000130234	59272
ACE3P	"angiotensin I converting enzyme 3, pseudogene"			17q23.3			ENSG00000224353	100129123
ACER1	alkaline ceramidase 1	ASAH3		19p13.3	AF347024	NM_133492	ENSG00000167769	125981
ACER2	alkaline ceramidase 2	ASAH3L	"FLJ41587, ALKCDase2"	9p22.1	AK123581	NM_001010887	ENSG00000177076	340485
ACER3	alkaline ceramidase 3	PHCA	"FLJ11238, APHC"	11q13.5	AF214454	NM_018367	ENSG00000078124	55331
ACHE	acetylcholinesterase (Cartwright blood group)	YT		7q22.1		NM_015831	ENSG00000087085	43
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	"KIAA0670, fSAP152"	14q11.2	AB014570	NM_014977	ENSG00000100813	22985
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	1q23.2	U01839	NM_002036	ENSG00000213088	2532
ACKR2	atypical chemokine receptor 2	"CMKBR9, CCBP2"	"CCR10, D6, CCR9"	3p22.1	U94888	NM_001296	ENSG00000144648	1238
ACKR3	atypical chemokine receptor 3	"CMKOR1, CXCR7"	"RDC1, GPR159"	2q37.3	BC008459	NM_020311	ENSG00000144476	57007
ACKR4	atypical chemokine receptor 4	CCRL1	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	3q22.1	AF110640	NM_016557	ENSG00000129048	51554
ACLS	acrocallosal syndrome			12p13.3-p11.2				46
ACLY	ATP citrate lyase		"ATPCL, CLATP, ACL"	17q21.2	X64330	NM_001096	ENSG00000131473	47
ACMSD	aminocarboxymuconate semialdehyde decarboxylase			2q21.3	AB071418		ENSG00000153086	130013
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	BAATP1		9q31.1			ENSG00000227411	347275
ACO1	aconitase 1	IREB1	"IRP1, IREBP"	9p21.1	M58510	NM_002197	ENSG00000122729	48
ACO2	aconitase 2		ACONM	22q13.2	AH006514	NM_001098	ENSG00000100412	50
ACOD1	aconitate decarboxylase 1	IRG1	CAD	13q22.3		NM_001258406	ENSG00000102794	730249
ACOT1	acyl-CoA thioesterase 1		"ACH2, CTE-1, LACH2"	14q24.3	DQ082754	NM_001037161	ENSG00000184227	641371
ACOT2	acyl-CoA thioesterase 2		"Mte1, ZAP128"	14q24.3	"AY005822, AK001939"	NM_006821	ENSG00000119673	10965
ACOT4	acyl-CoA thioesterase 4		"FLJ31235, PTE-Ib, PTE2B"	14q24.3	BC031799	NM_152331	ENSG00000177465	122970
ACOT6	acyl-CoA thioesterase 6	C14orf42		14q24.3	"DQ082756, BF109853"	NM_001037162	ENSG00000205669	641372
ACOT7	acyl-CoA thioesterase 7		"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH"	1p36.31	AB074417	NM_007274	ENSG00000097021	11332
ACOT8	acyl-CoA thioesterase 8	PTE1	"hACTE-III, hTE, PTE-2, NAP1"	20q13.12	AF014404	NM_183386	ENSG00000101473	10005
ACOT9	acyl-CoA thioesterase 9		"CGI-16, MT-ACT48, ACATE2"	Xp22.11	AF132950	NM_012332	ENSG00000123130	23597
ACOT11	acyl-CoA thioesterase 11	THEA	"STARD14, BFIT, KIAA0707, BFIT1, THEM1"	1p32.3	AB014607	NM_015547	ENSG00000162390	26027
ACOT12	acyl-CoA thioesterase 12		"Cach, THEAL, STARD15"	5q14.1	AB078619	NM_130767	ENSG00000172497	134526
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	6p22.3	AF220186	NM_018473	ENSG00000112304	55856
ACOX1	acyl-CoA oxidase 1		PALMCOX	17q25.1	U03254		ENSG00000161533	51
